character,itemName,itemID,offspec,date
Ayan,Pendulum of Infinity,45517,0,2023-07-07
Bataar,Wrynn's Handguards of Triumph,48452,0,2023-07-07
Chirra,Helm of the Faceless,45502,1,2023-07-07
Donkeymaster,Khadgar's Leggings of Triumph,47755,0,2023-07-07
Donkeymaster,Scale of Fates,45466,0,2023-07-07
Epinephrined,Legplates of the Wayward Conqueror,45653,0,2023-07-07
Eriksön,Bladebearer's Signet,45540,1,2023-07-07
Eriksön,Crown of the Wayward Conqueror,45638,0,2023-07-07
Eriksön,Mantle of the Wayward Conqueror,45656,0,2023-07-07
Eriksön,Seal of the Betrayed King,45534,0,2023-07-07
Hailios,Crown of the Wayward Conqueror,45638,1,2023-07-07
Kinki,Wisdom's Hold,45470,0,2023-07-07
Milkmanzlol,Breastplate of the Wayward Protector,45633,0,2023-07-07
Nythdarn,Legplates of the Wayward Conqueror,45653,0,2023-07-07
Prelation,Soulscribe,45527,0,2023-07-07
Rumblen,Giant's Bane,45261,0,2023-07-07
Rumblen,Unbreakable Chestguard,45334,1,2023-07-07
Sierci,Mantle of the Wayward Conqueror,45656,0,2023-07-07
Slightlyholy,Boots of the Servant,45483,0,2023-07-07
Slightlyholy,Ring of the Faithful Servant,45438,1,2023-07-07
Staminadaddi,Frigid Strength of Hodir,45459,0,2023-07-07
