character,itemName,itemID,offspec,date
Ayan,Sentinel Scouting Greaves,47933,0,2023-07-19
Dominicus,Ashen Sack of Gems,49294,0,2023-07-19
Dominicus,Talisman of Volatile Power,47946,0,2023-07-19
Dominicus,Trophy of the Crusade,47242,0,2023-07-19
Donkeymaster,Felspark Bindings,47927,0,2023-07-19
Donkeymaster,Trophy of the Crusade,47242,0,2023-07-19
Éxorcism,Head of Onyxia,49644,0,2023-07-19
Itsvalken,Girdle of the Impaler,47925,0,2023-07-19
Kinki,Vigilant Ward,47963,1,2023-07-19
Lothryn,Trophy of the Crusade,47242,0,2023-07-19
Oneel,Armor of Shifting Shadows,47954,1,2023-07-19
Oneel,Westfall Saber,47971,0,2023-07-19
Rumblen,Dreadscale Armguards,47918,1,2023-07-19
Rumblen,Enlarged Onyxia Hide Backpack,49295,0,2023-07-19
Rumblen,Pauldrons of the Silver Defender,47944,1,2023-07-19
Upoil,Judgement Helmet,49324,1,2023-07-19
Upoil,Trophy of the Crusade,47242,0,2023-07-19
