character,itemName,itemID,offspec,date
Crotatsu,Enlarged Onyxia Hide Backpack,49295,0,2023-08-13
Dabblinks,Head of Onyxia,49644,0,2023-08-13
Éxorcism,Judgement Cover,49323,1,2023-08-13
Nythdarn,Armguards of the Nether Lord,47935,1,2023-08-13
Nythdarn,Collar of Ceaseless Torment,47915,1,2023-08-13
Nythdarn,Swift Alliance Steed,49044,0,2023-08-13
Nythdarn,The Lion's Maw,47966,0,2023-08-13
Pailock,Shawl of Fervent Crusader,48672,0,2023-08-13
Preformation,Trophy of the Crusade,47242,0,2023-08-13
Scaigh,Firestorm Ring,47928,0,2023-08-13
Scaigh,Icehowl Cinch,47921,0,2023-08-13
Scaigh,Trophy of the Crusade,47242,0,2023-08-13
Sierci,Ashen Sack of Gems,49294,0,2023-08-13
Sierci,Coronet of Transcendence,49317,1,2023-08-13
Sierci,Talisman of Volatile Power,47946,1,2023-08-13
Staminadaddi,Bulwark of the Royal Guard,47978,1,2023-08-13
Staminadaddi,Trophy of the Crusade,47242,0,2023-08-13
Tipaartos,Trophy of the Crusade,47242,0,2023-08-13
