character,itemName,itemID,offspec,date
Barrixx,Trophy of the Crusade,47242,0,2023-06-26
Bataar,Pride of the Eredar,47063,0,2023-06-26
Chirra,Greaves of the 7th Legion,47150,0,2023-06-26
Dezbryant,Leggings of the Broken Beast,46975,0,2023-06-26
Hailios,Belt of the Forgotten Martyr,47195,0,2023-06-26
Hailios,Trophy of the Crusade,47242,0,2023-06-26
Hailios,Vambraces of the Broken Bond,47098,0,2023-06-26
Kellindir,Trophy of the Crusade,47242,0,2023-06-26
Kinki,Boots of the Courageous,46986,0,2023-06-26
Kittytricks,Treads of the Icewalker,47077,0,2023-06-26
Lyrion,Band of the Violent Temperment,46966,0,2023-06-26
Nythdarn,Satrina's Impeding Scarab,47088,0,2023-06-26
Nythdarn,Trophy of the Crusade,47242,0,2023-06-26
Pailock,Symbol of Transgression,47064,0,2023-06-26
Pailock,Trophy of the Crusade,47242,0,2023-06-26
Percy,The Executioner's Malice,47105,0,2023-06-26
Prelation,Reign of the Unliving,47182,0,2023-06-26
Prelation,Trophy of the Crusade,47242,0,2023-06-26
Sierci,Chalice of Searing Light,47138,0,2023-06-26
Sierci,Gloves of the Lifeless Touch,47235,0,2023-06-26
Sierci,Trophy of the Crusade,47242,0,2023-06-26
Thyphoon,Bastion of Purity,47079,0,2023-06-26
Thyphoon,Trophy of the Crusade,47242,0,2023-06-26
Tucapel,Crystal Plated Vanguard,46963,0,2023-06-26
Tucapel,Trophy of the Crusade,47242,0,2023-06-26
Zilphyr,Lionhead Slasher,47001,0,2023-06-26
