character,itemName,itemID,offspec,date
Alelia,Trophy of the Crusade,47242,0,2023-10-06
Allyallyally,Cloak of Displacement,47095,0,2023-10-06
Allyallyally,Symbol of Transgression,47064,0,2023-10-06
Ayan,Reply-Code Alpha,46053,0,2023-10-06
Bataar,Regalia of the Grand Protector,47558,0,2023-10-06
Crotatsu,Belt of the Ice Burrower,46991,0,2023-10-06
Crotatsu,Wrathstone,45263,1,2023-10-06
Dallaregy,Treads of the False Oracle,45537,0,2023-10-06
Eriksön,Charge of the Demon Lord,47060,0,2023-10-06
Eriksön,Drape of the Untamed Predator,46971,0,2023-10-06
Gweinae,Regalia of the Grand Protector,47558,0,2023-10-06
Jorek,Warhelm of the Champion,45472,1,2023-10-06
Kellindir,Cuirass of Calamitous Fate,47004,0,2023-10-06
Kellindir,Lupine Longstaff,47130,0,2023-10-06
Kellindir,Solar Bindings,45611,0,2023-10-06
Kittytricks,Archon Glaive,47239,0,2023-10-06
Lothryn,Regalia of the Grand Vanquisher,47559,0,2023-10-06
Nythdarn,Magni's Resolution,47549,0,2023-10-06
Paisham,Bastion of Purity,47085,0,2023-10-06
Paisham,Legwraps of the Awakening,47190,0,2023-10-06
Prelation,Regalia of the Grand Protector,47558,0,2023-10-06
Slightlyholy,Clemency,47524,0,2023-10-06
Staminadaddi,Girdle of Bloodied Scars,47076,0,2023-10-06
Terrysneak,Bracers of Dark Determination,47155,0,2023-10-06
Terrysneak,Pendulum of Infinity,45517,0,2023-10-06
Terrysneak,Steel Bladebreaker,46969,0,2023-10-06
Terrysneak,Twin Spike,47113,0,2023-10-06
ßudders,Footpads of the Icy Floe,47205,0,2023-10-06
ßudders,Wail of the Val'kyr,47144,0,2023-10-06
