character,itemName,itemID,offspec,date
Allyallyally,Trophy of the Crusade,47242,0,2023-07-24
Chirra,Legguards of Ascension,47132,0,2023-07-24
Dantonidas,Mantle of the Wayward Vanquisher,45658,0,2023-07-24
Dominicus,Chalice of Searing Light,47146,0,2023-07-24
Dominicus,Footpads of the Icy Floe,47194,0,2023-07-24
Dominicus,Trophy of the Crusade,47242,0,2023-07-24
Eriksön,Boneshatter Armplates,46967,0,2023-07-24
Kellindir,Cloak of Displacement,47095,0,2023-07-24
Kellindir,Trophy of the Crusade,47242,0,2023-07-24
Kinki,Boots of the Courageous,46986,1,2023-07-24
Kinki,Legplates of Failing Light,47067,0,2023-07-24
Kinki,Maiden's Favor,47225,0,2023-07-24
Kittytricks,Trophy of the Crusade,47242,0,2023-07-24
Kittytricks,Trophy of the Crusade,47242,0,2023-07-24
Lothryn,Shawl of the Refreshing Winds,46977,0,2023-07-24
Nythdarn,Legguards of Feverish Dedication,47061,0,2023-07-24
Pailock,Shawl of Haunted Memories,45529,0,2023-07-24
Rumblen,Bloodbath Belt,47002,0,2023-07-24
Rumblen,Trophy of the Crusade,47242,0,2023-07-24
Rumblen,Trophy of the Crusade,47242,0,2023-07-24
Sierci,Leggings of the Deepening Void,47187,1,2023-07-24
Sierci,Show of Faith,45535,0,2023-07-24
Slightlyholy,Trophy of the Crusade,47242,0,2023-07-24
Staminadaddi,Satrina's Impeding Scarab,47088,0,2023-07-24
Upoil,Trophy of the Crusade,47242,0,2023-07-24
Zilphyr,Belt of the Merciless Killer,47112,0,2023-07-24
Zilphyr,Blood of the Old God,45522,0,2023-07-24
Zilphyr,Stormpike Cleaver,47148,0,2023-07-24
Zilphyr,Treads of the Icewalker,47077,0,2023-07-24
