character,itemName,itemID,offspec,date
Alelia,Footpads of the Icy Floe,47205,0,2023-09-11
Alelia,Regalia of the Grand Vanquisher,47559,0,2023-09-11
Alelia,Reign of the Unliving,47188,0,2023-09-11
Bataar,Dawnbreaker Greaves,47003,0,2023-09-11
Bataar,The Arbiter's Muse,47133,0,2023-09-11
Chirra,Ashen Sack of Gems,49294,0,2023-09-11
Crotatsu,Trophy of the Crusade,47242,1,2023-09-11
Eriksön,Bracers of Dark Determination,47155,0,2023-09-11
Hailios,Breastplate of the Frozen Lake,47147,0,2023-09-11
Hailios,Enlarged Onyxia Hide Backpack,49295,0,2023-09-11
Jorek,Trophy of the Crusade,47242,0,2023-09-11
Jorek,Trophy of the Crusade,47242,0,2023-09-11
Kellindir,Cord of Biting Cold,47084,0,2023-09-11
Kellindir,Trophy of the Crusade,47242,0,2023-09-11
Kinki,Trophy of the Crusade,47242,0,2023-09-11
Lothryn,Leggings of the Soothing Touch,47062,0,2023-09-11
Nythdarn,Judgement Hood,49474,1,2023-09-11
Nythdarn,Trophy of the Crusade,47242,0,2023-09-11
Prelation,Blade of Tarasque,46980,0,2023-09-11
Prelation,Bracers of Cloudy Omen,47068,1,2023-09-11
Prelation,Drape of the Untamed Predator,46971,0,2023-09-11
Queed,Clemency,47524,0,2023-09-11
Queed,Polished Azuresong Mageblade,49499,0,2023-09-11
Rupmir,Trophy of the Crusade,47242,0,2023-09-11
Rupmir,Trophy of the Crusade,47242,0,2023-09-11
Staminadaddi,Boneshatter Armplates,46967,0,2023-09-11
Staminadaddi,Gloves of Bitter Reprisal,47240,0,2023-09-11
Staminadaddi,Regalia of the Grand Protector,47558,0,2023-09-11
Zilryp,Justicebringer,47078,0,2023-09-11
Zilryp,The Executioner's Malice,47110,0,2023-09-11
Zilryp,Trophy of the Crusade,47242,0,2023-09-11
Zilryp,Trophy of the Crusade,47242,0,2023-09-11
