character,itemName,itemID,offspec,date
Alelia,Band of Deplorable Violence,47237,0,2023-09-29
Catariina,Misery's End,47206,0,2023-09-29
Dallaregy,Leggings of the Soothing Touch,47062,0,2023-09-29
Dallaregy,Regalia of the Grand Conqueror,47557,0,2023-09-29
Dantonidas,Handwraps of the Vigilant,45520,0,2023-09-29
Dantonidas,Soulscribe,45527,0,2023-09-29
Eriksön,Frigid Strength of Hodir,45459,0,2023-09-29
Gweinae,Breastplate of Cruel Intent,46965,0,2023-09-29
Gweinae,Death's Verdict,47131,0,2023-09-29
Gweinae,Legguards of the Lurking Threat,47191,0,2023-09-29
Gweinae,Trophy of the Crusade,47242,0,2023-09-29
Hailios,Regalia of the Grand Conqueror,47557,0,2023-09-29
Jorek,Breastplate of the Wayward Vanquisher,45634,1,2023-09-29
Jorek,Gauntlets of the Wayward Vanquisher,45643,1,2023-09-29
Jorek,Legplates of the Wayward Vanquisher,45655,1,2023-09-29
Kellindir,Belt of the Merciless Killer,47112,0,2023-09-29
Kellindir,Fate's Clutch,45471,0,2023-09-29
Kellindir,Satrina's Impeding Scarab,47088,0,2023-09-29
Kinki,Regalia of the Grand Conqueror,47557,0,2023-09-29
Kinki,Reply-Code Alpha,46053,0,2023-09-29
Kinki,Trophy of the Crusade,47242,0,2023-09-29
Nythdarn,Earthshaper,45521,1,2023-09-29
Nythdarn,Signet of the Traitor King,47157,0,2023-09-29
Paisham,Boots of the Unrelenting Storm,46989,1,2023-09-29
Paisham,Cord of Pale Thorns,47145,0,2023-09-29
Paisham,Crown of the Wayward Protector,45639,0,2023-09-29
Paisham,Mantle of the Wayward Protector,45657,0,2023-09-29
Paisham,Vestments of the Shattered Fellowship,47096,0,2023-09-29
Pallyamory,Insurmountable Fervor,45193,0,2023-09-29
Pallyamory,Strength of the Automaton,45106,0,2023-09-29
Pallyamory,Titanguard,45110,1,2023-09-29
Pallyamory,Trophy of the Crusade,47242,0,2023-09-29
Pallyamory,Trophy of the Crusade,47242,0,2023-09-29
Pallyamory,Trophy of the Crusade,47242,0,2023-09-29
Pallyamory,Trophy of the Crusade,47242,0,2023-09-29
Pallyamory,Wrathstone,45263,0,2023-09-29
Percy,Girdle of Embers,45161,1,2023-09-29
Sierci,Belt of the Darkspeaker,45508,1,2023-09-29
Slightlyholy,Trophy of the Crusade,47242,0,2023-09-29
Slightlyholy,Trophy of the Crusade,47242,1,2023-09-29
Staminadaddi,Bulwark of Algalon,45587,1,2023-09-29
Staminadaddi,Dawnbreaker Greaves,47003,0,2023-09-29
Staminadaddi,Justicebringer,47078,0,2023-09-29
Terrysneak,Drape of the Untamed Predator,46971,0,2023-09-29
Terrysneak,Legguards of Cunning Deception,45536,0,2023-09-29
Terrysneak,Regalia of the Grand Vanquisher,47559,0,2023-09-29
Zilryp,Solar Bindings,45611,0,2023-09-29
Zilryp,Trophy of the Crusade,47242,0,2023-09-29
ßudders,Clemency,47524,0,2023-09-29
ßudders,Symbol of Transgression,47064,0,2023-09-29
