character,itemName,itemID,offspec,date
Allyallyally,Lingering Illness,50063,0,2023-10-20 20:35:20
Allyallyally,Rigormortis,50068,0,2023-10-20 20:36:00
Crotatsu,Snowserpent Mail Helm,50605,1,2023-10-20 18:47:22
Crotatsu,Dual-Bladed Pauldrons,50022,1,2023-10-20 20:34:35
Dallaregy,Shadow Silk Spindle,50173,0,2023-10-20 20:36:07
Dallaregy,Conqueror's Mark of Sanctification,52027,0,2023-10-20 21:22:49
Eriksön,Cryptmaker,49919,0,2023-10-20 20:35:45
Gweinae,Leggings of Northern Lights,49988,0,2023-10-20 18:47:49
Gweinae,Zod's Repeating Longbow,50034,0,2023-10-20 18:48:06
Hailios,Fallen Lord's Handguards,49995,0,2023-10-20 18:47:41
Jorek,Blightborne Warplate,50024,1,2023-10-20 20:34:45
Kellindir,Shoulders of Frost-Tipped Thorns,50171,1,2023-10-20 20:34:40
Kellindir,Vanquisher's Mark of Sanctification,52025,0,2023-10-20 21:22:45
Nythdarn,Conqueror's Mark of Sanctification,52027,0,2023-10-20 18:47:54
Paisham,Protector's Mark of Sanctification,52026,0,2023-10-20 20:35:34
Prelation,Protector's Mark of Sanctification,52026,0,2023-10-20 20:35:29
Slightlyholy,Corp'rethar Ceremonial Crown,50661,0,2023-10-20 18:47:33
Slightlyholy,Gunship Captain's Mittens,50663,0,2023-10-20 18:47:45
Slightlyholy,Dying Light,50181,0,2023-10-20 21:22:40
Terrysneak,Bloodvenom Blade,50412,0,2023-10-20 18:48:17
Zilryp,Protector's Mark of Sanctification,52026,0,2023-10-20 18:47:59
Zilryp,Nerub'ar Stalker's Cord,50413,0,2023-10-20 20:35:14
ßudders,Plaguebringer's Stained Pants,50056,0,2023-10-20 20:35:24
ßudders,Corpse-Impaling Spike,50033,0,2023-10-20 20:35:40
