character,itemName,itemID,offspec,date
Allyallyally,Skyweaver Robes,47129,0,2023-07-31
Ayan,Bracers of the Untold Massacre,47074,0,2023-07-31
Ayan,Trophy of the Crusade,47242,0,2023-07-31
Bataar,Signified Ring of Binding,49489,0,2023-07-31
Bataar,Trophy of the Crusade,47242,0,2023-07-31
Catariina,Flowing Vestments of Ascent,46993,0,2023-07-31
Eriksön,Band of the Violent Temperment,46966,0,2023-07-31
Itsvalken,Chestplate of the Frostborn Hero,47086,0,2023-07-31
Itsvalken,Trophy of the Crusade,47242,0,2023-07-31
Kellindir,Boots of the Mourning Widow,47097,0,2023-07-31
Kellindir,Trophy of the Crusade,47242,0,2023-07-31
Kinki,Head of Onyxia,49644,1,2023-07-31
Kinki,Ring of the Darkmender,47224,0,2023-07-31
Kinki,Trophy of the Crusade,47242,0,2023-07-31
Lothryn,Cord of Pale Thorns,47145,0,2023-07-31
Lothryn,Solace of the Defeated,47059,0,2023-07-31
Lothryn,Trophy of the Crusade,47242,0,2023-07-31
Oneel,Enlarged Onyxia Hide Backpack,49295,0,2023-07-31
Oneel,Lionhead Slasher,47001,0,2023-07-31
Pailock,Band of Deplorable Violence,47054,0,2023-07-31
Pailock,Cord of the Tenebrous Mist,46973,0,2023-07-31
Percy,The Executioner's Malice,47110,0,2023-07-31
Ranter,Nemesis Skullcap,49484,0,2023-07-31
Ranter,Trophy of the Crusade,47242,0,2023-07-31
Rumblen,Trophy of the Crusade,47242,0,2023-07-31
Slightlyholy,Footpads of the Icy Floe,47194,1,2023-07-31
Slightlyholy,Trophy of the Crusade,47242,0,2023-07-31
Upoil,Greaves of the 7th Legion,47150,0,2023-07-31
