character,itemName,itemID,offspec,date
Kellindir,Drape of the Lithe,45224,1,2023-08-18
Kellindir,Gloves of the Stonereaper,45325,1,2023-08-18
Kinki,Ashen Sack of Gems,49294,0,2023-08-18
Nythdärn,Frostforged Helm,49466,0,2023-08-18
Nythdarn,Metallic Loop of the Sufferer,45503,1,2023-08-18
Oneel,Legguards of Cunning Deception,45536,0,2023-08-18
Oneel,Runescribed Blade,45437,1,2023-08-18
Prelation,Wisdom's Hold,45470,1,2023-08-18
Prenotion,Head of Onyxia,49644,1,2023-08-18
Scaigh,Mantle of the Wayward Conqueror,45656,0,2023-08-18
Scaigh,Nemesis Skullcap,49484,0,2023-08-18
Sierci,Velen's Handwraps of Triumph,48077,1,2023-08-18
Sierci,Velen's Leggings of Triumph,47985,1,2023-08-18
Slightlyholy,Antediluvian Cornerstone Grimoire,49490,1,2023-08-18
Staminadaddi,Pendulum of Infinity,45517,0,2023-08-18
Tham,Ironmender,45271,0,2023-08-18
Tham,Khadgar's Gauntlets of Triumph,47753,0,2023-08-18
Tham,Mantle of the Wayward Vanquisher,45658,0,2023-08-18
Thndrthighs,Enlarged Onyxia Hide Backpack,49295,0,2023-08-18
