character,itemName,itemID,offspec,date
Alelia,Icehowl Cinch,47921,0,2023-07-30
Gandulug,Cinch of the Undying,47977,0,2023-07-30
Gandulug,Sandals of the Silver Magus,47940,0,2023-07-30
Gandulug,Trophy of the Crusade,47242,0,2023-07-30
Nythdarn,Acidmaw Boots,47919,1,2023-07-30
Nythdarn,Ashen Sack of Gems,49294,0,2023-07-30
Nythdarn,Reckoning,47951,0,2023-07-30
Nythdarn,Trophy of the Crusade,47242,0,2023-07-30
Ranter,Antique Cornerstone Grimoire,49308,0,2023-07-30
Ranter,Cinch of the Undying,47977,0,2023-07-30
Ranter,Firestorm Ring,47928,0,2023-07-30
Ranter,Trophy of the Crusade,47242,0,2023-07-30
Ranter,Trophy of the Crusade,47242,0,2023-07-30
Zilphyr,Dirk of the Night Watch,47938,0,2023-07-30
Zilphyr,Enlarged Onyxia Hide Backpack,49295,0,2023-07-30
