character,itemName,itemID,offspec,date
Crotatsu,Trophy of the Crusade,47242,0,2023-07-02
Dezbryant,Victor's Call,47948,0,2023-07-02
Isolyde,Collar of Ceaseless Torment,47915,0,2023-07-02
Isolyde,Legplates of the Silver Hand,47970,0,2023-07-02
Isolyde,Planestalker Signet,47934,0,2023-07-02
Isolyde,Reckoning,47951,0,2023-07-02
Nythdarn,Bulwark of the Royal Guard,47978,0,2023-07-02
Nythdarn,Chestguard of the Warden,47964,0,2023-07-02
Nythdarn,Lothar's Edge,48713,1,2023-07-02
Pailock,Icehowl Cinch,47921,0,2023-07-02
Ranter,Darkbane Pendant,47957,0,2023-07-02
Ranter,Leggings of the Demonic Messenger,47931,0,2023-07-02
Slightlyholy,Trophy of the Crusade,47242,0,2023-07-02
