character,itemName,itemID,offspec,date
Adrainn,Breastplate of the Wayward Conqueror,45632,1,2023-06-16
Adrainn,Gauntlets of the Wayward Conqueror,45641,0,2023-06-16
Adrainn,Mantle of the Wayward Conqueror,45656,0,2023-06-16
Adrainn,Mantle of the Wayward Conqueror,45656,0,2023-06-16
Adrainn,Northern Barrier,45450,1,2023-06-16
Adrainn,Saronite Plated Legguards,45267,1,2023-06-16
Adrainn,Titanguard,45110,1,2023-06-16
Adrainn,Titanstone Pendant,45538,1,2023-06-16
Bataar,Legplates of the Wayward Protector,45654,0,2023-06-16
Bearypotterz,Helm of the Furnace Master,45164,0,2023-06-16
Bearypotterz,Iron-studded Mantle,45227,0,2023-06-16
Chirra,Titanstone Pendant,45538,1,2023-06-16
Crotatsu,Guiding Star,45147,0,2023-06-16
Donkeymaster,Gauntlets of the Wayward Vanquisher,45643,0,2023-06-16
Donkeymaster,Shackles of the Odalisque,45146,0,2023-06-16
Jdxo,Asimov's Drape,45493,0,2023-06-16
Jdxo,Intensity,45171,0,2023-06-16
Jdxo,Legplates of the Wayward Vanquisher,45655,0,2023-06-16
Jdxo,Mantle of the Wayward Vanquisher,45658,0,2023-06-16
Kellindir,Crown of the Wayward Vanquisher,45640,1,2023-06-16
Kellindir,Sanity's Bond,45530,1,2023-06-16
Kinki,Charm of Meticulous Timing,45443,0,2023-06-16
Legelis,Golem-Shard Sticker,45246,0,2023-06-16
Legelis,Metallic Loop of the Sufferer,45503,0,2023-06-16
Legelis,Wrathstone,45263,0,2023-06-16
Mackthedot,Ironmender,45271,0,2023-06-16
Mackthedot,Treads of the False Oracle,45537,0,2023-06-16
Masakoo,Rapture,45234,0,2023-06-16
Masakoo,Ring of the Vacant Eye,45515,0,2023-06-16
Oneel,Embrace of the Gladiator,45473,0,2023-06-16
Oneel,Proto-hide Leggings,45141,1,2023-06-16
Pailock,Constructor's Handwraps,45117,0,2023-06-16
Pailock,Crown of the Wayward Conqueror,45638,0,2023-06-16
Pailock,Mantle of Wavering Calm,45253,0,2023-06-16
Pailock,Raiments of the Iron Council,45240,0,2023-06-16
Percy,Blood of the Old God,45522,0,2023-06-16
Rumblen,"Vulmir, the Northern Tempest",45463,1,2023-06-16
Rumblen,Rising Sun,45086,0,2023-06-16
