character,itemName,itemID,offspec,date
Alelia,Frozen Bonespike,50608,0,2023-11-10
Alelia,Greatcloak of the Turned Champion,50014,0,2023-11-10 19:26:38
Ayan,Frostbrood Sapphire Ring,50618,0,2023-11-10
Ayan,Protector's Mark of Sanctification,52026,0,2023-11-10 19:27:24
Catariina,Conqueror's Mark of Sanctification,52027,0,2023-11-10 19:27:06
Catariina,Conqueror's Mark of Sanctification,52027,0,2023-11-10 19:27:10
Catariina,Frostbinder's Shredded Cape,50628,0,2023-11-10
Crotatsu,Holiday's Grace,50061,0,2023-11-10 19:26:29
Crotatsu,Incarnadine Band of Mending,50174,0,2023-11-10 20:59:10
Eriksön,Conqueror's Mark of Sanctification,52027,0,2023-11-10 20:59:15
Eriksön,Festergut's Acidic Blood,50226,0,2023-11-10
Eriksön,Raging Behemoth's Shoulderplates,50674,0,2023-11-10 19:26:34
Eriksön,Rotface's Acidic Blood,50231,0,2023-11-10
Eriksön,Seal of Many Mouths,50678,0,2023-11-10
Eriksön,Shadowvault Slayer's Cloak,50653,0,2023-11-10
Kellindir,Boots of Unnatural Growth,50665,0,2023-11-10
Kellindir,Corpse Tongue Coin,50349,0,2023-11-10 19:27:02
Kellindir,Handguards of Winter's Respite,50615,0,2023-11-10
Kellindir,Leggings of Northern Lights,49988,0,2023-11-10 19:26:54
Kellindir,Nibelung,49992,0,2023-11-10 19:27:32
Kellindir,Rigormortis,50068,0,2023-11-10 19:27:42
Kinki,Gangrenous Leggings,50042,1,2023-11-10 19:26:58
Nythdarn,Carapace of Forgotten Kings,50038,1,2023-11-10 19:26:48
Paisham,Protector's Mark of Sanctification,52026,0,2023-11-10 19:27:16
Romed,Dislodged Foreign Object,50348,0,2023-11-10
Romed,Rigormortis,50068,0,2023-11-10
Sennate,Dying Light,50181,1,2023-11-10 21:01:12
Terrydk,Broken Ram Skull Helm,49986,0,2023-11-10 19:26:20
Terrydk,Noose of Malachite,50627,0,2023-11-10
Terrydk,Royal Crimson Cloak,50074,0,2023-11-10 20:59:05
Vizeon,Cryptmaker,49919,0,2023-11-10 20:59:35
Vizeon,Gendarme's Cuirass,50606,0,2023-11-10 19:26:43
ßudders,Conqueror's Mark of Sanctification,52027,0,2023-11-10 20:59:20
