character,itemName,itemID,offspec,date
Bataar,Boots of the Underdweller,45501,1,2023-06-30
Bataar,Legplates of the Wayward Protector,45654,1,2023-06-30
Bataar,Stormrune Edge,45233,0,2023-06-30
Crotatsu,Legplates of the Wayward Protector,45654,0,2023-06-30
Epinephrined,Mantle of the Wayward Conqueror,45656,0,2023-06-30
Epinephrined,Shawl of Haunted Memories,45529,0,2023-06-30
Gweinae,Gloves of the Steady Hand,45444,0,2023-06-30
Homiespirit,Guiding Star,45147,0,2023-06-30
Homiespirit,Ironmender,45271,0,2023-06-30
Homiespirit,Shroud of Alteration,45541,0,2023-06-30
Kellindir,Gauntlets of the Wayward Vanquisher,45643,1,2023-06-30
Kinki,Bladebearer's Signet,45540,1,2023-06-30
Kinki,Shoulderpads of the Monolith,45265,1,2023-06-30
Mackthedot,Kel'Thuzad's Gloves of Triumph,47782,0,2023-06-30
Mackthedot,Leviathan Fueling Manual,45115,1,2023-06-30
Norani,Mantle of the Wayward Protector,45657,0,2023-06-30
Nythdarn,Fate's Clutch,45471,0,2023-06-30
Pailock,Scale of Fates,45466,0,2023-06-30
Percy,Earthshaper,45521,1,2023-06-30
Prelation,Amice of the Stoic Watch,45440,1,2023-06-30
Prelation,Nobundo's Grips of Triumph,48347,0,2023-06-30
Rumblen,Titanstone Pendant,45538,1,2023-06-30
Slightlyholy,Crown of the Wayward Conqueror,45638,0,2023-06-30
Slightlyholy,Gauntlets of the Wayward Conqueror,45641,0,2023-06-30
Slightlyholy,Mantle of Wavering Calm,45253,0,2023-06-30
Zilphyr,Breastplate of the Wayward Vanquisher,45634,0,2023-06-30
Zilphyr,Crown of the Wayward Vanquisher,45640,0,2023-06-30
Zilphyr,Drape of the Lithe,45224,0,2023-06-30
Zilphyr,Flamestalker Boots,45162,0,2023-06-30
Zilphyr,Nymph Heart Charm,45480,0,2023-06-30
Zilphyr,Rising Sun,45086,0,2023-06-30
Zilphyr,VanCleef's Gauntlets of Triumph,48224,0,2023-06-30
