character,itemName,itemID,offspec,date
Canee,Shoulderguards of the Spirit Walker,47926,0,2023-08-09
Canee,Trophy of the Crusade,47242,0,2023-08-09
Gandulug,Enlarged Onyxia Hide Backpack,49295,0,2023-08-09
Gandulug,Firestorm Ring,47928,0,2023-08-09
Kinki,Bulwark of the Royal Guard,47978,1,2023-08-09
Nythdärn,Chestguard of the Warden,47964,1,2023-08-09
Nythdärn,Head of Onyxia,49644,0,2023-08-09
Nythdärn,Trophy of the Crusade,47242,0,2023-08-09
Oneel,Acidmaw Boots,47919,0,2023-08-09
Paisham,Blade of the Silver Disciple,47941,0,2023-08-09
Paisham,Darkbane Pendant,47957,0,2023-08-09
Paisham,Pauldrons of the Timeless Hunter,47969,0,2023-08-09
Paisham,Talisman of Volatile Power,47946,0,2023-08-09
Paisham,Trophy of the Crusade,47242,0,2023-08-09
Presumption,Girdle of the Nether Champion,47937,0,2023-08-09
Presumption,Sabatons of the Lingering Vortex,47952,0,2023-08-09
Presumption,Trophy of the Crusade,47242,0,2023-08-09
Upoil,Ashen Sack of Gems,49294,0,2023-08-09
Upoil,Cloak of the Unmoving Guardian,48675,1,2023-08-09
Upoil,Swift Alliance Steed,49044,0,2023-08-09
