character,itemName,itemID,offspec,date
Batartwo,Corp'rethar Ceremonial Crown,50661,0,2023-11-03 19:48:55
Catariina,Greatcloak of the Turned Champion,50014,0,2023-11-03 19:49:00
Crotatsu,Unclean Surgical Gloves,50064,0,2023-11-03 19:49:05
Crotatsu,Leggings of Northern Lights,49988,1,2023-11-03 19:49:17
Dallaregy,Nightmare Ender,50472,0,2023-11-03 21:18:26
Gweinae,Distant Land,50040,0,2023-11-03 19:49:59
Gweinae,Wodin's Lucky Necklace,50452,0,2023-11-03 21:17:45
Kellindir,Vanquisher's Mark of Sanctification,52025,0,2023-11-03 19:49:52
Kellindir,Belt of the Lonely Noble,50451,0,2023-11-03 19:52:01
Kellindir,Carapace of Forgotten Kings,50038,0,2023-11-03 19:52:08
Kellindir,Blood Queen's Crimson Choker,50182,0,2023-11-03 21:20:18
Kinki,Conqueror's Mark of Sanctification,52027,0,2023-11-03 19:49:40
Kinki,Crypt Keeper's Bracers,50175,0,2023-11-03 21:17:56
Kitkatbar,Vanquisher's Mark of Sanctification,52025,0,2023-11-03 21:18:20
Kittytricks,Vanquisher's Mark of Sanctification,52025,0,2023-11-03 21:18:13
Nythdarn,Conqueror's Mark of Sanctification,52027,0,2023-11-03 19:49:48
Nythdarn,Landsoul's Horned Greathelm,50072,1,2023-11-03 21:17:35
Paisham,Leggings of Dubious Charms,50450,1,2023-11-03 19:49:25
Percy,Scourge Reaver's Legplates,50192,0,2023-11-03 21:18:02
Prelation,Necrophotic Greaves,49993,1,2023-11-03 19:49:30
Ranter,Gunship Captain's Mittens,50663,0,2023-11-03 19:49:09
Ranter,Valanar's Other Signet Ring,50170,0,2023-11-03 21:18:07
Sierci,Conqueror's Mark of Sanctification,52027,0,2023-11-03 19:49:44
Terrysneak,Tiny Abomination in a Jar,50351,1,2023-11-03 19:49:36
Terrysneak,Heartpierce,49982,1,2023-11-03 19:50:03
Terrysneak,Lungbreaker,50183,1,2023-11-03 21:18:32
