character,itemName,itemID,offspec,date
Alelia,Flare of the Heavens,45518,0,2023-06-23
Alelia,Frozen Loop,45451,0,2023-06-23
Alelia,Pyrelight Circle,45168,0,2023-06-23
Ayan,Gloves of the Steady Hand,45444,0,2023-06-23
Bataar,Drape of the Drakerider,45138,1,2023-06-23
Bataar,Gloves of the Stonereaper,45325,1,2023-06-23
Bonerboi,Crown of the Wayward Conqueror,45638,0,2023-06-23
Bonerboi,Handwraps of Plentiful Recovery,45273,0,2023-06-23
Bonerboi,The Lifebinder,45479,0,2023-06-23
Chirra,Decimator's Armguards,45264,0,2023-06-23
Crotatsu,Freya's Choker of Warding,45116,0,2023-06-23
Crotatsu,Gauntlets of the Wayward Protector,45642,0,2023-06-23
Dantonidas,Crown of the Wayward Vanquisher,45640,0,2023-06-23
Dezbryant,Insanity's Grip,45489,1,2023-06-23
Donkeymaster,Mantle of the Wayward Vanquisher,45658,0,2023-06-23
Epinephrined,Scepter of Creation,45170,0,2023-06-23
Hailios,Unfaltering Armguards,45269,0,2023-06-23
Kellindir,Mantle of the Wayward Vanquisher,45658,1,2023-06-23
Kinki,Pauldrons of the Combatant,45474,0,2023-06-23
Mackthedot,Collar of the Wyrmhunter,45150,0,2023-06-23
Nythdarn,Gauntlets of the Wayward Conqueror,45641,0,2023-06-23
Nythdarn,Mimiron's Inferno Couplings,45111,0,2023-06-23
Percy,Damaged Necklace,43297,0,2023-06-23
Percy,"Lotrafen, Spear of the Damned",45498,1,2023-06-23
Percy,Sigil of Deflection,45144,1,2023-06-23
Percy,"Vulmir, the Northern Tempest",45463,1,2023-06-23
Prelation,Blood of the Old God,45522,0,2023-06-23
Rumblen,Breastplate of the Wayward Protector,45633,1,2023-06-23
Rumblen,Runed Ironhide Boots,45232,0,2023-06-23
Sierci,Ring of the Faithful Servant,45438,0,2023-06-23
Upoil,Breastplate of the Wayward Conqueror,45632,0,2023-06-23
Upoil,Iron Riveted War Helm,45107,0,2023-06-23
Upoil,Signet of the Earthshaker,45247,0,2023-06-23
