character,itemName,itemID,offspec,date
Alelia,Trophy of the Crusade,47242,0,2023-06-25
Caerwyn,Helm of the Snowy Grotto,47959,0,2023-06-25
Dezbryant,Acidmaw Boots,47919,0,2023-06-25
Dezbryant,Planestalker Signet,47934,0,2023-06-25
Dezbryant,"Rhok'shalla, the Shadow's Bane",48711,0,2023-06-25
Dezbryant,Westfall Saber,47971,0,2023-06-25
Eriksön,Fordragon Blades,47979,0,2023-06-25
Eriksön,Helm of the Silver Ranger,47942,1,2023-06-25
Nythdarn,Fervor of the Frostborn,47949,0,2023-06-25
Nythdarn,Sabatons of the Lingering Vortex,47952,0,2023-06-25
Sierci,Trophy of the Crusade,47242,0,2023-06-25
Tipaartos,Girdle of the Farseer,47932,0,2023-06-25
Tipaartos,Shoulderpads of the Glacial Wilds,47923,0,2023-06-25
Tipaartos,Vigilant Ward,47963,0,2023-06-25
