character,itemName,itemID,offspec,date
Bataar,Drape of the Lithe,45224,1,2023-09-18
Crotatsu,Fang of Oblivion,45607,1,2023-09-18
Crotatsu,Pandora's Plea,45490,0,2023-09-18
Dallaregy,Alchemist's Cache,46110,0,2023-09-18
Dallaregy,Breastplate of the Wayward Conqueror,45632,0,2023-09-18
Dallaregy,Legplates of the Wayward Conqueror,45653,0,2023-09-18
Nythdarn,Stormrune Edge,45233,1,2023-09-18
Percy,Armbands of Bedlam,45663,0,2023-09-18
Rupmir,Frozen Loop,45451,0,2023-09-18
Zilryp,Frigid Strength of Hodir,45459,0,2023-09-18
