character,itemName,itemID,offspec,date
Bataar,Dreadscale Armguards,47918,0,2023-06-24
Bataar,Fervor of the Frostborn,47949,0,2023-06-24
Bataar,Sabatons of the Lingering Vortex,47952,0,2023-06-24
Chirra,Armguards of the Nether Lord,47935,0,2023-06-24
Chirra,Fordragon Blades,47834,0,2023-06-24
Kellindir,Blade of the Silver Disciple,47941,0,2023-06-24
Kellindir,Felspark Bindings,47927,0,2023-06-24
Kellindir,Gloves of Looming Shadow,47956,0,2023-06-24
Prelation,Argent Resolve,47809,0,2023-06-24
