character,itemName,itemID,offspec,date
Bataar,Chestplate of the Towering Monstrosity,46968,0,2023-08-21
Bataar,Justicebringer,47078,0,2023-08-21
Catariina,Trophy of the Crusade,47242,0,2023-08-21
Haamp,Twin Spike,47113,0,2023-08-21
Kegman,Trophy of the Crusade,47242,0,2023-08-21
Kegman,Trophy of the Crusade,47242,0,2023-08-21
Kellindir,Bracers of the Autumn Willow,47066,0,2023-08-21
Kellindir,Trophy of the Crusade,47242,0,2023-08-21
Kellindir,Wail of the Val'kyr,47144,0,2023-08-21
Kinki,Chestplate of the Frostborn Hero,47086,1,2023-08-21
Kinki,Trophy of the Crusade,47242,0,2023-08-21
Lothryn,Boots of the Unrelenting Storm,46989,0,2023-08-21
Lothryn,Trophy of the Crusade,47242,0,2023-08-21
Lothryn,Vestments of the Shattered Fellowship,47096,0,2023-08-21
Nythdarn,Pride of the Eredar,47063,0,2023-08-21
Percy,Bloodbath Belt,47002,0,2023-08-21
Prelation,Chestguard of Flowing Elements,47204,1,2023-08-21
Prelation,Trophy of the Crusade,47242,0,2023-08-21
Prelation,Trophy of the Crusade,47242,0,2023-08-21
Scaigh,Skyweaver Robes,47129,0,2023-08-21
Scaigh,Trophy of the Crusade,47242,0,2023-08-21
Zilphyr,Drape of the Untamed Predator,46971,0,2023-08-21
