character,itemName,itemID,offspec,date
Alelia,Staff of Endless Winter,45457,0,2023-07-21
Chirra,The General's Heart,45507,1,2023-07-21
Donkeymaster,Khadgar's Gauntlets of Triumph,47753,0,2023-07-21
Epinephrined,Pyrelight Circle,45168,1,2023-07-21
Eriksön,Relentless Gladiator's Scaled Gauntlets,40812,1,2023-07-21
Eriksön,Warhelm of the Champion,45472,0,2023-07-21
Kinki,Shroud of Alteration,45541,0,2023-07-21
Legölâs,Brass-lined Boots,45249,0,2023-07-21
Legölâs,Cindershard Ring,45157,0,2023-07-21
Legölâs,Crown of the Wayward Protector,45639,0,2023-07-21
Legölâs,Darkcore Leggings,45504,0,2023-07-21
Legölâs,Iron-studded Mantle,45227,0,2023-07-21
Legölâs,Mechanist's Bindings,45108,1,2023-07-21
Lothryn,Vestments of the Blind Denizen,45519,0,2023-07-21
Prelation,Steamcaller's Totem,45114,1,2023-07-21
Ranter,Living Flame,45148,0,2023-07-21
Ranter,Scepter of Lost Souls,45511,0,2023-07-21
Rumblen,Cloak of the Makers,45319,1,2023-07-21
Rumblen,Necklace of Unerring Mettle,45262,1,2023-07-21
Slightlyholy,Crown of the Wayward Conqueror,45638,1,2023-07-21
Slightlyholy,Frozen Loop,45451,0,2023-07-21
Slightlyholy,Velen's Leggings of Triumph,47985,1,2023-07-21
Tipaartos,Runescribed Blade,45437,0,2023-07-21
Zilphyr,Golden Saronite Dragon,45132,0,2023-07-21
