character,itemName,itemID,offspec,date
Alelia,Skyweaver Robes,47129,0,2023-07-17
Alelia,Trophy of the Crusade,47242,0,2023-07-17
Allyallyally,Gloves of the Lifeless Touch,47235,0,2023-07-17
Allyallyally,Trophy of the Crusade,47242,0,2023-07-17
Bataar,Girdle of Bloodied Scars,47076,0,2023-07-17
Bataar,Trophy of the Crusade,47242,0,2023-07-17
Crotatsu,Bastion of Purity,47085,0,2023-07-17
Crotatsu,Bracers of Cloudy Omen,47068,0,2023-07-17
Dezbryant,Steel Bladebreaker,46969,0,2023-07-17
Dominicus,Ashen Sack of Gems,49294,0,2023-07-17
Dominicus,Head of Onyxia,49644,0,2023-07-17
Donkeymaster,Trophy of the Crusade,47242,0,2023-07-17
Eriksön,Bracers of Dark Determination,47151,0,2023-07-17
Eriksön,Burnished Quel'Serrar,49495,1,2023-07-17
Eriksön,Enlarged Onyxia Hide Backpack,49295,0,2023-07-17
Eriksön,Judgement Heaume,49475,0,2023-07-17
Gweinae,Legguards of the Lurking Threat,47184,0,2023-07-17
Itsvalken,Lionhead Slasher,47001,0,2023-07-17
Kellindir,Vestments of the Shattered Fellowship,47096,0,2023-07-17
Kittytricks,Belt of the Merciless Killer,47112,0,2023-07-17
Lothryn,Trophy of the Crusade,47242,0,2023-07-17
Pailock,Blade of Tarasque,46980,0,2023-07-17
Pailock,Trophy of the Crusade,47242,0,2023-07-17
Prelation,Trophy of the Crusade,47242,0,2023-07-17
Ranter,Leggings of the Soothing Touch,47062,0,2023-07-17
Ranter,Trophy of the Crusade,47242,0,2023-07-17
Slightlyholy,Chalice of Searing Light,47146,0,2023-07-17
Slightlyholy,Cord of the Tenebrous Mist,46973,0,2023-07-17
Slightlyholy,Misery's End,47193,0,2023-07-17
Staminadaddi,Trophy of the Crusade,47242,0,2023-07-17
