character,itemName,itemID,offspec,date
Bataar,Trophy of the Crusade,47242,0,2023-08-05
Catariina,Amulet of Binding Elements,47930,0,2023-08-05
Catariina,Trophy of the Crusade,47242,0,2023-08-05
Gimbus,Dreadscale Armguards,47918,0,2023-08-05
Gimbus,Trophy of the Crusade,47242,0,2023-08-05
Gweinae,Swift Alliance Steed,49044,0,2023-08-05
Gweinae,Trophy of the Crusade,47242,0,2023-08-05
Layout,Sandals of the Silver Magus,47940,0,2023-08-05
Layout,Vestments of the Sleepless,47974,0,2023-08-05
Prelation,Boots of Tortured Space,49238,0,2023-08-05
Slightlyholy,Drape of Bitter Incantation,48671,0,2023-08-05
Tipaartos,Fervor of the Frostborn,47949,1,2023-08-05
Tipaartos,Honor of the Fallen,48714,1,2023-08-05
Tipaartos,Reckoning,47951,1,2023-08-05
