character,itemName,itemID,offspec,date
Chirra,Caress of Insanity,46097,0,2023-07-08
Chirra,Cloak of the Makers,45319,1,2023-07-08
Chirra,Fordragon Blades,47979,0,2023-07-08
Chirra,Trophy of the Crusade,47242,0,2023-07-08
Chirra,Void Sabre,46036,0,2023-07-08
Funktional,Belt of the Darkspeaker,45508,0,2023-07-08
Funktional,Ring of the Faithful Servant,45438,0,2023-07-08
Gweinae,Trophy of the Crusade,47242,0,2023-07-08
Gweinae,Trophy of the Crusade,47242,0,2023-07-08
Kellindir,Shoulderpads of the Glacial Wilds,47923,1,2023-07-08
Kinki,Armguards of the Nether Lord,47935,1,2023-07-08
Kittytricks,Trophy of the Crusade,47242,0,2023-07-08
Percy,Carnivorous Band,47920,0,2023-07-08
Prelation,Binding Light,47947,1,2023-07-08
Prelation,Crown of the Wayward Protector,45639,1,2023-07-08
Prelation,Girdle of the Farseer,47932,1,2023-07-08
Prelation,Gloves of the Azure Prophet,47961,1,2023-07-08
Prelation,Helmet of the Crypt Lord,47965,1,2023-07-08
Prelation,Pauldrons of the Timeless Hunter,47969,0,2023-07-08
Ranter,Blade of the Silver Disciple,47941,0,2023-07-08
Ranter,Ring of the Vacant Eye,45515,0,2023-07-08
Ranter,Scale of Fates,45466,0,2023-07-08
Zilphyr,Combatant's Bootblade,45930,1,2023-07-08
Zilphyr,Icefall Blade,47953,1,2023-07-08
Zilphyr,Malice,45266,0,2023-07-08
Zilphyr,Mantle of the Wayward Vanquisher,45658,0,2023-07-08
Zilphyr,Metallic Loop of the Sufferer,45503,0,2023-07-08
Zilphyr,The Spinebreaker,48712,0,2023-07-08
