character,itemName,itemID,offspec,date
Cynras,Gauntlets of the Wayward Conqueror,45641,0,2023-09-01
Cynras,Legplates of the Wayward Conqueror,45653,0,2023-09-01
Jaaney,"Sorthalis, Hammer of the Watchers",45442,1,2023-09-01
Jaaney,"Voldrethar, Dark Blade of Oblivion",45516,0,2023-09-01
Mizzen,Seal of the Betrayed King,45534,0,2023-09-01
Nythdarn,Sif's Promise,45469,1,2023-09-01
Queed,Pyrelight Circle,45168,0,2023-09-01
Queed,Rapture,45234,0,2023-09-01
Queed,Runescribed Blade,45437,0,2023-09-01
Queed,Soulscribe,45527,0,2023-09-01
Sparticuss,Belt of the Darkspeaker,45508,1,2023-09-01
Sparticuss,Breastplate of the Wayward Protector,45633,1,2023-09-01
Sparticuss,Crown of the Wayward Protector,45639,1,2023-09-01
Sparticuss,Legplates of the Wayward Protector,45654,1,2023-09-01
Sparticuss,Pauldrons of the Combatant,45474,1,2023-09-01
Terrysneak,Gauntlets of the Wayward Vanquisher,45643,0,2023-09-01
Terrysneak,Mantle of the Wayward Vanquisher,45658,0,2023-09-01
Terrysneak,Shoulderpads of the Monolith,45265,0,2023-09-01
