character,itemName,itemID,offspec,date
Crotatsu,Shoulderguards of the Spirit Walker,47926,1,2023-08-06
Haamp,Cloak of the Silver Covenant,48673,0,2023-08-06
Haamp,Trophy of the Crusade,47242,0,2023-08-06
Haamp,Trophy of the Crusade,47242,0,2023-08-06
Nythdarn,Endurance of the Infernal,47939,0,2023-08-06
Nythdärn,Enlarged Onyxia Hide Backpack,49295,0,2023-08-06
Pailock,Swift Alliance Steed,49044,0,2023-08-06
Precaution,Armbands of the Northern Stalker,47916,1,2023-08-06
Precaution,Legplates of the Silver Hand,47970,1,2023-08-06
Ranter,Talisman of Volatile Power,47946,0,2023-08-06
Scaigh,Glinting Azuresong Mageblade,49298,0,2023-08-06
Sierci,Ashen Sack of Gems,49294,0,2023-08-06
Sierci,Enlightenment,47960,1,2023-08-06
Sierci,Heartcrusher,48709,0,2023-08-06
Sierci,Leggings of the Demonic Messenger,47931,1,2023-08-06
ßudders,Blade of the Silver Disciple,47941,0,2023-08-06
ßudders,Head of Onyxia,49644,0,2023-08-06
ßudders,Trophy of the Crusade,47242,0,2023-08-06
ßudders,Trophy of the Crusade,47242,0,2023-08-06
