character,itemName,itemID,offspec,date
Alelia,Symbol of Transgression,47064,0,2023-08-14
Ayan,Sabatons of Ruthless Judgment,47109,0,2023-08-14
Ayan,Talonstrike,46995,0,2023-08-14
Bataar,Gloves of Bitter Reprisal,47234,0,2023-08-14
Bataar,Trophy of the Crusade,47242,1,2023-08-14
Catariina,Leggings of the Soothing Touch,47062,0,2023-08-14
Chirra,Trophy of the Crusade,47242,0,2023-08-14
Crotatsu,Boots of Tremoring Earth,47099,0,2023-08-14
Crotatsu,Legguards of Concealed Hatred,47087,0,2023-08-14
Gweinae,Lupine Longstaff,47130,0,2023-08-14
Haamp,Bracers of Dark Determination,47151,0,2023-08-14
Haamp,Treads of the Icewalker,47077,0,2023-08-14
Kellindir,Boots of the Unrelenting Storm,46989,0,2023-08-14
Kellindir,Trophy of the Crusade,47242,1,2023-08-14
Kellindir,Trophy of the Crusade,47242,1,2023-08-14
Kinki,Breastplate of the Frozen Lake,47147,0,2023-08-14
Kinki,Trophy of the Crusade,47242,1,2023-08-14
Kittytricks,Idol of the Corruptor,45509,1,2023-08-14
Kittytricks,Legguards of Cunning Deception,45536,0,2023-08-14
Nythdarn,Mantle of the Wayward Conqueror,45656,1,2023-08-14
Nythdarn,Trophy of the Crusade,47242,1,2023-08-14
Nythdarn,Trophy of the Crusade,47242,1,2023-08-14
Ranter,Cord of the Tenebrous Mist,46973,0,2023-08-14
Scaigh,Armbands of the Ashen Saint,47203,0,2023-08-14
Scaigh,Handwraps of the Vigilant,45520,0,2023-08-14
Scaigh,Trophy of the Crusade,47242,0,2023-08-14
Staminadaddi,Godbane Signet,45525,0,2023-08-14
Zilphyr,Steel Bladebreaker,46969,0,2023-08-14
