character,itemName,itemID,offspec,date
Allyallyally,Scepter of Creation,45170,0,2023-07-14
Ayan,Skyforge Crossbow,45570,0,2023-07-14
Bataar,The Leviathan's Coil,45112,0,2023-07-14
Dezbryant,Bladetwister,45484,0,2023-07-14
Dominicus,Mantle of the Wayward Conqueror,45656,0,2023-07-14
Dominicus,Scale of Fates,45466,0,2023-07-14
Dominicus,Velen's Handwraps of Triumph,48077,0,2023-07-14
Donkeymaster,Handwraps of the Vigilant,45520,0,2023-07-14
Furrygamb,Formula: Enchant Weapon - Blood Draining,46348,0,2023-07-14
Gweinae,Siren's Cry,45327,1,2023-07-14
Gweinae,Windrunner's Legguards of Triumph,48258,0,2023-07-14
Itsvalken,Breastplate of the Wayward Vanquisher,45634,0,2023-07-14
Itsvalken,Gauntlets of Ruthless Reprisal,45481,0,2023-07-14
Itsvalken,Legplates of the Wayward Vanquisher,45655,0,2023-07-14
Kinki,Bindings of Winter Gale,45460,0,2023-07-14
Kinki,Mantle of the Wayward Conqueror,45656,1,2023-07-14
Kittytricks,Dark Edge of Depravity,45533,0,2023-07-14
Lothryn,Legplates of the Wayward Vanquisher,45655,1,2023-07-14
Nythdarn,Crown of the Wayward Conqueror,45638,1,2023-07-14
Nythdarn,Proto-hide Leggings,45141,1,2023-07-14
Nythdarn,Wrathstone,45263,0,2023-07-14
Prelation,Nobundo's Gloves of Triumph,48317,0,2023-07-14
Prelation,Nobundo's Kilt of Triumph,48319,0,2023-07-14
Ranter,Frozen Loop,45451,0,2023-07-14
Ranter,Robes of the Umbral Brute,45272,0,2023-07-14
Sierci,Crown of the Wayward Conqueror,45638,1,2023-07-14
Sierci,Overload Legwraps,45238,1,2023-07-14
Sierci,Soulscribe,45527,1,2023-07-14
Tipaartos,Boots of the Underdweller,45501,1,2023-07-14
Zilphyr,Bladetwister,45484,0,2023-07-14
