character,itemName,itemID,offspec,date
Batartwo,Binding Light,47947,0,2023-07-05
Batartwo,Trophy of the Crusade,47242,0,2023-07-05
Dezbryant,Armor of Shifting Shadows,47954,0,2023-07-05
Dezbryant,Dirk of the Night Watch,47938,0,2023-07-05
Dezbryant,Spaulders of the Snow Bandit,47972,0,2023-07-05
Donkeymaster,Blade of the Silver Disciple,47941,0,2023-07-05
Donkeymaster,Cinch of the Undying,47977,0,2023-07-05
Donkeymaster,Enlightenment,47960,0,2023-07-05
Donkeymaster,Firestorm Ring,47928,0,2023-07-05
Donkeymaster,Rod of Imprisoned Souls,47922,0,2023-07-05
Isolyde,"Rhok'shalla, the Shadow's Bane",48711,0,2023-07-05
Isolyde,Trophy of the Crusade,47242,0,2023-07-05
Legelis,Collar of Ceaseless Torment,47915,0,2023-07-05
Legelis,Trophy of the Crusade,47242,0,2023-07-05
Oneel,Trophy of the Crusade,47242,0,2023-07-05
Presumption,Chestguard of the Warden,47964,0,2023-07-05
