character,itemName,itemID,offspec,date
Alelia,Cord of Biting Cold,47084,0,2023-08-28
Catariina,Chalice of Searing Light,47146,0,2023-08-28
Chirra,The Executioner's Malice,47110,0,2023-08-28
Kegman,Leggings of the Soothing Touch,47062,0,2023-08-28
Kegman,Trophy of the Crusade,47242,0,2023-08-28
Kellindir,Leggings of the Broken Beast,46975,1,2023-08-28
Kellindir,Trophy of the Crusade,47242,0,2023-08-28
Kinki,Strength of the Nerub,47183,0,2023-08-28
Morphingtime,Trophy of the Crusade,47242,0,2023-08-28
Morphingtime,Trophy of the Crusade,47242,0,2023-08-28
Nythdarn,Chestplate of the Towering Monstrosity,46968,0,2023-08-28
Nythdarn,Girdle of Bloodied Scars,47076,0,2023-08-28
Percy,Legguards of Ascension,47132,0,2023-08-28
Percy,Traveler's Backpack,4500,0,2023-08-28
Percy,Trophy of the Crusade,47242,0,2023-08-28
Percy,Trophy of the Crusade,47242,0,2023-08-28
Prelation,Boots of Tremoring Earth,47099,0,2023-08-28
Prelation,Trophy of the Crusade,47242,0,2023-08-28
Rupmir,Scepter of Lost Souls,45511,0,2023-08-28
Rupmir,Trophy of the Crusade,47242,0,2023-08-28
Rupmir,Trophy of the Crusade,47242,0,2023-08-28
Staminadaddi,"Voldrethar, Dark Blade of Oblivion",45516,0,2023-08-28
Staminadaddi,Talonstrike,46995,0,2023-08-28
Thedred,"Lotrafen, Spear of the Damned",45498,1,2023-08-28
Thedred,Blood of the Old God,45522,0,2023-08-28
Thedred,Mantle of the Wayward Vanquisher,45658,0,2023-08-28
Thedred,Seal of the Betrayed King,45534,0,2023-08-28
Thedred,The General's Heart,45507,1,2023-08-28
ßudders,Gloves of the Lifeless Touch,47235,0,2023-08-28
