character,itemName,itemID,offspec,date
Amorelle,Cold Convergence,47968,0,2023-08-02
Amorelle,Rod of Imprisoned Souls,47922,0,2023-08-02
Caerwyn,Godbane Signet,45525,0,2023-08-02
Caerwyn,Idol of the Corruptor,45509,0,2023-08-02
Caevin,Drape of the Faceless General,46032,0,2023-08-02
Jharen,Amice of Inconceivable Horror,46068,0,2023-08-02
Jharen,Argent Resolve,47962,0,2023-08-02
Jharen,Blade of the Silver Disciple,47941,0,2023-08-02
Jharen,Helm of the Snowy Grotto,47959,1,2023-08-02
Jharen,Mjolnir Runestone,45931,0,2023-08-02
Jharen,Sentinel Scouting Greaves,47933,0,2023-08-02
Kinki,Seed of Budding Carnage,45945,0,2023-08-02
Lothryn,Mantle of the Wayward Vanquisher,45658,0,2023-08-02
Lothryn,Trophy of the Crusade,47242,1,2023-08-02
Oneel,Armor of Shifting Shadows,47954,1,2023-08-02
Presumption,Trophy of the Crusade,47242,0,2023-08-02
Tham,Amulet of Binding Elements,47930,0,2023-08-02
Tham,Legplates of the Wayward Vanquisher,45655,0,2023-08-02
Tham,Talisman of Volatile Power,47946,0,2023-08-02
Tham,Trophy of the Crusade,47242,0,2023-08-02
Upoil,Honor of the Fallen,48714,1,2023-08-02
Upoil,Saronite Plated Legguards,45267,0,2023-08-02
Upoil,The Boreal Guard,45877,0,2023-08-02
Upoil,Trophy of the Crusade,47242,0,2023-08-02
