character,itemName,itemID,offspec,date
Ayan,Drape of the Untamed Predator,46971,0,2023-10-30 20:34:40
Batartwo,Bracers of the Autumn Willow,47066,0,2023-10-30 20:34:54
Chirra,Dawnbreaker Greaves,47003,1,2023-10-30 20:35:00
Chirra,Satrina's Impeding Scarab,47088,1,2023-10-30 20:35:10
Kitkatbar,Vanquisher's Mark of Sanctification,52025,0,2023-10-30 19:31:27
Kittytricks,"Oathbinder, Charge of the Ranger-General",50425,0,2023-10-30 19:31:54
Kittytricks,Vanquisher's Mark of Sanctification,52025,0,2023-10-30 19:31:31
Lothryn,Memory of Malygos,50424,0,2023-10-30 19:31:16
Nythdarn,Breastplate of Cruel Intent,46965,1,2023-10-30 20:34:46
Nythdarn,The Executioner's Malice,47110,1,2023-10-30 20:34:37
Prelation,Ring of Callous Aggression,47075,0,2023-10-30 20:35:06
Romed,Vanquisher's Mark of Sanctification,52025,0,2023-10-30 19:31:42
Sierci,Flowing Vestments of Ascent,46993,1,2023-10-30 20:34:51
Sierci,Magic Broom,37011,0,2023-10-30 19:31:21
Sierci,Solace of the Defeated,47059,0,2023-10-30
Slightlyholy,Wail of the Val'kyr,47144,0,2023-10-30 20:34:30
Terrysneak,Vanquisher's Mark of Sanctification,52025,0,2023-10-30 19:31:37
Tipaartos,Boots of Tremoring Earth,47099,0,2023-10-30 20:35:03
Woopwoop,Lupine Longstaff,47130,0,2023-10-30 20:36:29
ßudders,"Archus, Greatstaff of Antonidas",50429,0,2023-10-30 19:31:47
