character,itemName,itemID,offspec,date
Ayan,Protector's Mark of Sanctification,52026,0,2023-11-06 19:18:46
Dallaregy,"Bloodsurge, Kel'Thuzad's Blade of Agony",50427,0,2023-11-06 19:19:16
Gweinae,Protector's Mark of Sanctification,52026,0,2023-11-06 19:18:51
Kittytricks,Vanquisher's Mark of Sanctification,52025,0,2023-11-06 19:18:55
Nythdarn,Conqueror's Mark of Sanctification,52027,0,2023-11-06 19:18:42
Ranter,Sundial of Eternal Dusk,50423,0,2023-11-06 19:19:26
Terrysneak,"Heaven's Fall, Kryss of a Thousand Lies",50426,0,2023-11-06 19:19:10
