character,itemName,itemID,offspec,date
Bataar,Gauntlets of the Wayward Protector,45642,1,2023-08-04
Bataar,The General's Heart,45507,0,2023-08-04
Catariina,Ironmender,45271,0,2023-08-04
Kinki,Gloves of the Steady Hand,45444,1,2023-08-04
Kinki,Wrathstone,45263,1,2023-08-04
Percy,Dark Edge of Depravity,45533,0,2023-08-04
Sierci,Grips of Chaos,45549,1,2023-08-04
Sierci,Soot-Covered Mantle,45186,1,2023-08-04
Staminadaddi,Cloak of the Makers,45319,1,2023-08-04
Yennefèr,Formula: Enchant Weapon - Blade Ward,46027,0,2023-08-04
Yennefèr,Living Flame,45148,0,2023-08-04
Yennefèr,Mantle of the Wayward Protector,45657,0,2023-08-04
Yennefèr,Pauldrons of the Combatant,45474,0,2023-08-04
Zilphyr,Pendulum of Infinity,45517,0,2023-08-04
ßudders,Mantle of the Wayward Conqueror,45656,0,2023-08-04
ßudders,Scepter of Lost Souls,45511,0,2023-08-04
ßudders,Staff of Endless Winter,45457,0,2023-08-04
