character,itemName,itemID,offspec,date
Alelia,Armbands of the Ashen Saint,47208,0,2023-09-15
Alelia,Blade of the Unbroken Covenant,47517,0,2023-09-15
Allyallyally,Blade of Tarasque,46980,0,2023-09-15
Ayan,Breastplate of Cruel Intent,46965,0,2023-09-15
Ayan,Regalia of the Grand Protector,47558,0,2023-09-15
Bataar,Ashen Sack of Gems,49294,0,2023-09-15
Bataar,Crystal Plated Vanguard,46964,0,2023-09-15
Chirra,Regalia of the Grand Vanquisher,47559,0,2023-09-15
Chirra,Strength of the Nerub,47192,0,2023-09-15
Dallaregy,Nemesis Skullcap,49484,0,2023-09-15
Gweinae,Belt of Deathly Dominion,47153,0,2023-09-15
Hailios,Bastion of Purity,47085,0,2023-09-15
Hailios,Pauldrons of the Combatant,45474,0,2023-09-15
Jorek,Boots of the Underdweller,45501,0,2023-09-15
Jorek,Cloak of the Makers,45319,0,2023-09-15
Jorek,Decimator's Armguards,45264,0,2023-09-15
Jorek,Trophy of the Crusade,47242,0,2023-09-15
Jorek,Trophy of the Crusade,47242,1,2023-09-15
Kellindir,Regalia of the Grand Vanquisher,47559,0,2023-09-15
Kellindir,Symbol of Transgression,47064,0,2023-09-15
Kittytricks,Cuirass of Calamitous Fate,47004,0,2023-09-15
Kittytricks,Solar Bindings,45611,0,2023-09-15
Nythdarn,Bulwark of Algalon,45587,0,2023-09-15
Nythdarn,Dark Edge of Depravity,45533,1,2023-09-15
Percy,Death's Verdict,47131,0,2023-09-15
Percy,Girdle of Bloodied Scars,47076,0,2023-09-15
Rupmir,Chalice of Searing Light,47146,0,2023-09-15
Rupmir,Formula: Enchant Weapon - Blade Ward,46027,0,2023-09-15
Rupmir,Mantle of the Wayward Conqueror,45656,0,2023-09-15
Rupmir,Ring of the Vacant Eye,45515,0,2023-09-15
Staminadaddi,Charge of the Demon Lord,47060,0,2023-09-15
Valyä,Enlarged Onyxia Hide Backpack,49295,0,2023-09-15
Valyä,Head of Onyxia,49644,0,2023-09-15
Zilryp,Earthshaper,45521,0,2023-09-15
Zilryp,Gloves of Bitter Reprisal,47240,0,2023-09-15
Zilryp,Mantle of the Wayward Protector,45657,0,2023-09-15
Zilryp,Regalia of the Grand Protector,47558,0,2023-09-15
Zilryp,Reply-Code Alpha,46053,0,2023-09-15
Zilryp,Sabatons of Ruthless Judgment,47109,0,2023-09-15
Zilryp,Trophy of the Crusade,47242,0,2023-09-15
ßudders,Handwraps of the Vigilant,45520,1,2023-09-15
