character,itemName,itemID,offspec,date
Ayan,"Fal'inrush, Defender of Quel'thalas",49981,0,2023-11-13 18:27:18
Batartwo,Shawl of the Refreshing Winds,46977,0,2023-11-13 19:14:53
Batartwo,Symbol of Transgression,47064,0,2023-11-13 19:15:58
Chirra,Bloodbath Belt,47002,0,2023-11-13 19:15:00
Dallaregy,Conqueror's Mark of Sanctification,52027,0,2023-11-13 18:27:00
Dallaregy,Memory of Malygos,50424,0,2023-11-13 18:26:40
Gweinae,"Fal'inrush, Defender of Quel'thalas",49981,0,2023-11-13 18:27:11
Kellindir,Boots of the Unrelenting Storm,46989,0,2023-11-13 19:15:28
Kellindir,Cord of Pale Thorns,47145,0,2023-11-13 19:15:16
Kellindir,Legguards of Concealed Hatred,47087,0,2023-11-13 19:15:22
Kellindir,Steel Bladebreaker,46969,0,2023-11-13 19:15:53
Kellindir,The Arbiter's Muse,47133,0,2023-11-13 19:14:42
Kinki,Solace of the Defeated,47059,0,2023-11-13 19:15:32
Reedot,Trophy of the Crusade,47242,0,2023-11-13 19:15:41
Romed,Cloak of Displacement,47095,1,2023-11-13 19:14:49
Slightlyholy,Conqueror's Mark of Sanctification,52027,0,2023-11-13 18:26:53
Terrydk,Vanquisher's Mark of Sanctification,52025,0,2023-11-13 18:27:08
Vizeon,Conqueror's Mark of Sanctification,52027,0,2023-11-13 18:27:04
Vizeon,The Executioner's Malice,47110,0,2023-11-13 19:14:38
Zilryp,Ring of Rotting Sinew,50453,1,2023-11-13 18:26:48
